,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
161,40B,12983692128832581847429939200000,40,320,-,-,True,True,-,-,1,abababbabababababbababbabbababababbababbabb
162,40C,25967384257665163694859878400000,40,160,-,-,True,True,-,-,1,Omitted owing to length.
163,40D,51934768515330327389719756800000,40,80,-,-,True,True,-,-,1,ababb
164,40E,103869537030660654779439513600000,40,40,40,-,True,True,-,-,1,ababababbababababbababb
165,42A,16487228100104865838006272000000,42,252,-,-,True,True,-,-,1,Omitted owing to length.
166,42B,49461684300314597514018816000000,42,84,-,-,True,True,-,-,1,aabababababbababbabbabbababababababbababbabbabbababbabb
167,42C,49461684300314597514018816000000,42,84,-,-,True,True,-,-,1,abababbababababababbababbabbabbababb
168,44A,94426851846055140708581376000000,44,44,44,-,True,True,-,-,1,abababbabababababbababb
169,46A,90321336548400569373425664000000,46,46,46,-,False,False,46B^5,-,2,abababababbababbabbabb
170,46B,90321336548400569373425664000000,46,46,46,-,False,False,46A^5,-,2,-
171,47A,88399605983540982791012352000000,47,47,47,-,False,False,47B^5,-,2,abababbababababbababb
172,47B,88399605983540982791012352000000,47,47,47,-,False,False,47A^5,-,2,-
173,48A,43278973762775272824766464000000,48,96,-,-,True,True,-,-,1,ababababbab
174,48B,43278973762775272824766464000000,48,96,-,-,True,True,-,-,1,ababababbababbabbabbabababababbababbabbabbababb
175,52A,79899643869738965214953472000000,52,52,52,-,True,True,-,-,1,ababbababbababababbababb
176,55A,75541481476844112566865100800000,55,55,55,-,True,True,-,-,1,ab
177,56A,37096263225235948135514112000000,56,112,-,-,False,False,56B^5,-,2,ababbababababbababbabababbababb
178,56B,37096263225235948135514112000000,56,112,-,-,False,False,56A^5,-,2,-
179,60A,34623179010220218259813171200000,60,120,-,-,True,True,-,-,1,abbababababbababbabbabababb
180,60B,34623179010220218259813171200000,60,120,-,-,True,True,-,-,1,abababababbababbabbabbababbababababbababbabababababbababbabbabb
181,60C,69246358020440436519626342400000,60,60,60,-,True,True,-,-,1,ababababbababababbab
182,66A,62951234564036760472387584000000,66,66,66,-,True,True,-,-,1,abababbabababababbababbabbababababbababb
183,70A,59354021160377517016822579200000,70,70,70,-,True,True,-,-,1,abababababbababbabababbababb
184,30G-H,-,30,-,-,-,-,-,-,-,-,abababababbababbabbabababbab
185,31A-B,-,31,-,-,-,-,-,-,-,-,ababababbababb
186,32A-B,-,32,-,-,-,-,-,-,-,-,abababababbababb
187,32C-D,-,32,-,-,-,-,-,-,-,-,ababababababbababbabbabbababb
