,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
128,42B,1603209176179589039457261716193870549614592000000000,42,504,-,-,True,True,84B,-,1,-
129,42C,4809627528538767118371785148581611648843776000000000,42,168,-,-,True,True,84C,-,1,-
130,42D,6412836704718356157829046864775482198458368000000000,42,126,-,-,True,True,-,-,1,-
131,44A,2295504047711684306495624730004860105129984000000000,44,352,-,-,False,False,44B^7 88A 88B,-,2,-
132,44B,2295504047711684306495624730004860105129984000000000,44,352,-,-,False,False,44A^7 88A 88B,-,2,-
133,45A,5985314257737132413973777073790450051894476800000000,45,135,-,-,True,True,-,-,1,-
134,46A,4391399047796265629817716874791906288074752000000000,46,184,-,-,False,False,46B^5 92A 92B,-,2,-
135,46B,4391399047796265629817716874791906288074752000000000,46,184,-,-,False,False,46A^5 92A 92B,-,2,-
136,46C,8782798095592531259635433749583812576149504000000000,46,92,-,-,False,False,46D^5,-,2,-
137,46D,8782798095592531259635433749583812576149504000000000,46,92,-,-,False,False,46C^5,-,2,-
138,47A,8595930051005456126451701116613944223465472000000000,47,94,-,-,False,False,47B^5 94A 94B,-,2,-
139,47B,8595930051005456126451701116613944223465472000000000,47,94,-,-,False,False,47A^5 94A 94B,-,2,-
140,48A,8416848174942842457150624010017820385476608000000000,48,96,-,-,True,True,-,-,1,-
141,50A,16160348495890257517729198099234215140115087360000000,50,50,50,-,True,True,-,-,1,-
142,51A,15843478917539468154636468724739426607955968000000000,51,51,51,-,True,True,-,-,1,-
143,52A,7769398315331854575831345240016449586593792000000000,52,104,-,-,True,True,104A 104B,-,1,-
144,52B,15538796630663709151662690480032899173187584000000000,52,52,52,-,True,True,-,-,1,-
145,54A,14963285644342831034934442684476125129736192000000000,54,54,54,-,True,True,-,-,1,-
146,55A,7345612952677389780785999136015552336415948800000000,55,110,-,-,True,True,110A,-,1,-
147,56A,7214441292808150677557677722872417473265664000000000,56,112,-,-,True,True,-,-,1,-
148,56B,14428882585616301355115355445744834946531328000000000,56,56,56,-,False,False,56C^11,-,2,-
